cluster
[12714 18296 24560 32634 34872]
[5597 19334 29055 35934 41560]
[3881 7888 10824 17933 21751 22474 26868 27144 28024 29237 34727 36650 36883 37097 38946 41431]
[1124 2723 5014 5656 6360 9011 9295 9569 15188 16199 17192 18376 20487 21667 22441 23454 26293 28000 30703 33369 36953 40727 41121 42069 42117]
[8261 12794 18329 27060 31378 33106 33561 34903 42896]
[7060 14291 24930 28181]
[138 830 4492 7330 14917 14971 16965 20049 23689 34754 38955]
[6707 8238 9027 9800 15213 22039 25141 25882 29590 37321 39119 39222]
[34 140 273 363 432 434 490 518 714 732 742 873 910 1023 1056 1135 1168 1181 1239 1270 1285 1340 1421 1434 1470 1501 1533 1572 1723 1729 1782 1811 1831 1865 1885 1962 2262 2280 2371 2538 2739 3048 3077 3092 3208 3286 3304 3307 3360 3367 3375 3384 3507 3596 3694 3709 3726 3758 3814 3826 3841 3960 3971 3997 4032 4046 4104 4117 4178 4426 4521 4559 4567 4597 4605 4716 4963 5095 5097 5182 5219 5235 5273 5309 5319 5357 5383 5470 5724 5742 5767 5816 5979 6103 6113 6141 6147 6153 6178 6182 6216 6251 6486 6521 6526 6566 6595 6646 6657 6753 6817 6871 7009 7017 7130 7136 7242 7258 7323 7335 7379 7405 7411 7513 7618 7712 7794 7818 7883 7943 7962 8001 8075 8096 8173 8175 8228 8371 8374 8395 8441 8493 8525 8562 8569 8611 8703 8781 8801 8862 8879 8887 9070 9227 9241 9288 9311 9370 9420 9426 9496 9579 9587 9710 9728 9795 9879 9880 9910 9927 9928 9936 10024 10032 10196 10215 10363 10385 10914 10917 10923 11062 11076 11277 11469 11603 11639 11747 11761 11945 11974 12002 12089 12102 12118 12325 12360 12415 12453 12540 12591 12600 12682 12704 12805 12908 13132 13214 13295 13311 13353 13474 13516 13528 13550 13573 13597 13627 13711 13792 13923 13925 13933 13964 13968 14023 14060 14096 14134 14142 14219 14345 14541 14552 14932 14970 15147 15235 15283 15355 15554 15836 15855 15939 16103 16147 16181 16240 16287 16292 16376 16382 16420 16455 16466 16492 16615 16647 16740 16811 17025 17067 17179 17329 17436 17456 17460 17516 17578 17588 17592 17696 17777 17853 17915 18017 18074 18094 18107 18130 18203 18215 18244 18248 18307 18323 18334 18358 18371 18408 18428 18542 18619 18684 18698 18713 18791 18881 18915 18951 18985 19042 19150 19358 19442 19538 19542 19554 19591 19806 20000 20054 20108 20146 20153 20251 20271 20298 20323 20341 20376 20671 20762 20768 20774 20856 20867 21020 21037 21076 21221 21292 21329 21476 21601 21790 21841 22128 22133 22146 22168 22192 22194 22254 22380 22413 22584 22600 22626 22721 22851 22894 22912 22952 23010 23140 23156 23174 23181 23207 23234 23470 23527 23545 23562 23709 23808 23836 24021 24179 24247 24269 24474 24532 24538 24541 24556 24585 24595 24652 24730 24765 24880 24999 25024 25062 25109 25162 25570 25600 25603 25671 25944 25981 26259 26468 26494 26543 26573 26621 26735 26740 26842 26844 26925 26926 26929 27055 27070 27130 27142 27203 27324 27336 27352 27389 27535 27661 27723 27751 27758 27771 27887 27999 28048 28145 28206 28221 28225 28265 28338 28341 28356 28403 28433 28444 28447 28462 28585 28610 28646 28677 28726 28742 28748 28791 28847 28915 29000 29208 29214 29266 29329 29391 29542 29572 29638 29850 29891 29960 30091 30140 30194 30318 30347 30396 30553 30637 30695 30767 30841 30968 30994 31078 31332 31337 31389 31413 31454 31685 31687 31703 31743 32034 32073 32092 32110 32115 32265 32346 32464 32532 32565 32571 32677 32719 32787 33061 33099 33349 33374 33464 33468 33475 33488 33501 33611 33659 33841 33923 33972 34025 34155 34195 34234 34265 34271 34284 34376 34408 34457 34475 34802 34807 34830 34847 34886 34918 35026 35119 35137 35301 35333 35359 35368 35369 35426 35470 35514 35526 35568 35576 35685 35693 35730 35783 35817 35919 35974 35985 35991 36063 36087 36205 36212 36234 36386 36619 36627 36684 36685 36706 36805 36824 36831 36929 36935 37000 37032 37075 37105 37185 37215 37460 37738 37768 37794 37876 37908 37928 37960 37977 37987 37988 37992 38092 38190 38210 38224 38239 38339 38491 38581 38626 38657 38710 38941 38963 38998 39011 39018 39036 39075 39218 39344 39364 39462 39492 39504 39522 39544 39654 39673 39677 39930 39953 40051 40100 40115 40213 40501 40831 40860 40900 40911 40927 41021 41169 41346 41376 41414 41422 41437 41514 41689 41720 41745 41778 41810 41826 41866 41977 42098 42099 42123 42141 42191 42308 42382 42420 42648 42649 42677 42702 42720 42792 42841 42857 42902 42917 42922 42928 42930 42967 43015 43056]
[10808 13127 16125 21045]
