2013-08-04,40080.22	
2013-08-05,83440.30	
2013-08-06,92750.88	
2013-08-07,98193.40	
2013-08-08,89744.05	
2013-08-09,101616.00	
2013-08-10,87738.07	
2013-08-11,40262.29	
2013-08-12,81111.24	
2013-08-13,97451.20	
2013-08-14,98174.96	
2013-08-15,106560.68	
2013-08-16,108514.55	
2013-08-17,89384.09	
2013-08-18,78913.46	
2013-08-19,80556.79	
2013-08-20,90107.07	
2013-08-21,98267.42	
2013-08-22,105587.96	
2013-08-23,100315.41	
2013-08-24,89501.55	
2013-08-25,80535.12	
2013-08-26,78739.89	
2013-08-27,86166.28	
2013-08-28,96605.00	
2013-08-29,101887.18	
2013-08-30,97225.22	
2013-08-31,81963.61	
2013-09-01,73749.03	
2013-09-02,60484.44	
2013-09-03,89134.10	
2013-09-04,98827.76	
2013-09-05,95709.32	
2013-09-06,108614.63	
2013-09-07,107223.48	
2013-09-08,92476.42	
2013-09-09,96194.60	
2013-09-10,109552.71	
2013-09-11,111908.64	
2013-09-12,121437.49	
2013-09-13,120365.07	
2013-09-14,102465.96	
2013-09-15,93444.78	
2013-09-16,96880.22	
2013-09-17,107731.35	
2013-09-18,111000.49	
2013-09-19,113513.18	
2013-09-20,119398.08	
2013-09-21,113671.36	
2013-09-22,98994.90	
2013-09-23,96801.88	
2013-09-24,101896.85	
2013-09-25,107108.07	
2013-09-26,111747.77	
2013-09-27,115907.85	
2013-09-28,113055.78	
2013-09-29,94160.55	
2013-09-30,91570.71	
2013-10-01,99247.88	
2013-10-02,104160.38	
2013-10-03,112869.91	
2013-10-04,116486.48	
2013-10-05,106823.09	
2013-10-06,94025.68	
2013-10-07,92822.35	
2013-10-08,101962.97	
2013-10-09,108608.46	
2013-10-10,116992.42	
2013-10-11,120469.73	
2013-10-12,113881.33	
2013-10-13,98542.46	
2013-10-14,78906.41	
2013-10-15,91022.12	
2013-10-16,105156.07	
2013-10-17,117381.83	
2013-10-18,121689.51	
2013-10-19,113348.18	
2013-10-20,96070.77	
2013-10-21,91355.40	
2013-10-22,100754.64	
2013-10-23,109654.30	
2013-10-24,118913.54	
2013-10-25,120036.51	
2013-10-26,112081.95	
2013-10-27,94494.34	
2013-10-28,92130.93	
2013-10-29,100645.65	
2013-10-30,106324.92	
2013-10-31,111579.29	
2013-11-01,129916.47	
2013-11-02,110101.95	
2013-11-03,95015.81	
2013-11-04,97215.03	
2013-11-05,99314.30	
2013-11-06,108614.54	
2013-11-07,123174.36	
2013-11-08,125377.08	
2013-11-09,113949.82	
2013-11-10,97287.82	
2013-11-11,88933.13	
2013-11-12,104270.07	
2013-11-13,108933.66	
2013-11-14,114518.63	
2013-11-15,119033.54	
2013-11-16,112641.64	
2013-11-17,93153.53	
2013-11-18,88534.25	
2013-11-19,103211.42	
2013-11-20,110054.81	
2013-11-21,115666.28	
2013-11-22,118892.17	
2013-11-23,112193.90	
2013-11-24,91924.66	
2013-11-25,94843.96	
2013-11-26,111746.70	
2013-11-27,97379.59	
2013-11-28,60925.24	
2013-11-29,67182.16	
2013-11-30,82872.59	
2013-12-01,79552.33	
2013-12-02,94172.90	
2013-12-03,103944.78	
2013-12-04,110950.06	
2013-12-05,116848.55	
2013-12-06,130781.55	
2013-12-07,119256.88	
2013-12-08,98446.07	
2013-12-09,98145.19	
2013-12-10,102158.07	
2013-12-11,121546.20	
2013-12-12,127922.56	
2013-12-13,130784.41	
2013-12-14,111525.46	
2013-12-15,89523.16	
2013-12-16,104621.10	
2013-12-17,107142.85	
2013-12-18,117936.01	
2013-12-19,120469.10	
2013-12-20,121552.36	
2013-12-21,103487.43	
2013-12-22,83509.85	
2013-12-23,85711.37	
2013-12-24,66647.67	
2013-12-25,42443.41	
2013-12-26,62626.66	
2013-12-27,79428.88	
2013-12-28,81865.36	
2013-12-29,79251.45	
2013-12-30,83353.29	
2013-12-31,83124.66	
