,cluster
2997,7
2998,22
2999,82
3000,64
3001,43
3002,12
3003,51
3004,6
3005,7
3006,78
3007,59
3008,7
3009,7
3010,29
3011,112
3012,105
3013,100
3014,85
3015,6
3016,142
3017,68
3018,76
3019,7
3020,13
3021,6
3022,90
3023,77
3024,93
3025,19
3026,42
3027,107
3028,49
3029,13
3030,61
3031,17
3032,7
3033,30
3034,7
3035,13
3036,53
3037,77
3038,24
3039,64
3040,48
3041,52
3042,29
3043,28
3044,76
3045,28
3046,11
3047,36
3048,58
3049,5
3050,88
3051,47
3052,93
3053,98
3054,35
3055,72
3056,68
3057,12
3058,46
3059,47
3060,65
3061,7
3062,46
3063,46
3064,65
3065,12
3066,28
3067,93
3068,46
3069,100
3070,7
3071,7
3072,13
3073,100
3074,67
3075,48
3076,56
3077,91
3078,19
3079,6
3080,54
3081,24
3082,12
3083,82
3084,34
3085,43
3086,158
3087,12
3088,7
3089,95
3090,13
3091,28
3092,35
3093,18
3094,18
3095,7
3096,25
3097,71
3098,12
3099,27
3100,53
3101,13
3102,70
3103,51
3104,41
3105,105
3106,71
3107,13
3108,81
3109,7
3110,53
3111,95
3112,71
3113,13
3114,47
3115,30
3116,18
3117,36
3118,7
3119,30
3120,7
3121,18
3122,30
3123,7
3124,19
3125,13
3126,115
3127,7
3128,7
3129,7
3130,7
3131,7
3132,7
3133,29
3134,13
3135,7
3136,47
3137,7
3138,71
3139,30
3140,37
3141,25
3142,12
3143,70
3144,7
3145,41
3146,25
3147,37
3148,54
3149,49
3150,7
3151,35
3152,37
3153,13
3154,7
3155,19
3156,65
3157,7
3158,69
3159,57
3160,6
3161,7
3162,31
3163,29
3164,7
3165,77
3166,57
3167,64
3168,7
3169,65
3170,62
3171,49
3172,143
3173,17
3174,17
3175,6
3176,12
3177,106
3178,69
3179,24
3180,55
3181,58
3182,55
3183,71
3184,18
3185,85
3186,6
3187,81
3188,6
3189,60
3190,53
3191,18
3192,7
3193,23
3194,58
3195,54
3196,117
3197,23
3198,7
3199,7
3200,19
3201,83
3202,5
3203,80
3204,78
3205,7
3206,7
3207,61
3208,7
3209,121
3210,76
3211,16
3212,69
3213,53
3214,61
3215,25
3216,23
3217,54
3218,57
3219,82
3220,37
3221,62
3222,36
3223,19
3224,66
3225,35
3226,70
3227,25
3228,12
3229,18
3230,18
3231,7
3232,7
3233,31
3234,12
3235,19
3236,36
3237,7
3238,151
3239,130
3240,169
3241,55
3242,89
3243,31
3244,7
3245,13
3246,65
3247,48
3248,129
3249,7
3250,65
3251,16
3252,103
3253,63
3254,82
3255,78
3256,31
3257,48
3258,7
3259,7
3260,18
3261,65
3262,5
3263,67
3264,75
3265,7
3266,43
3267,11
3268,111
3269,77
3270,7
3271,75
3272,12
3273,7
3274,7
3275,85
3276,17
3277,13
3278,18
3279,7
3280,30
3281,6
3282,94
3283,7
3284,7
3285,88
3286,49
3287,36
3288,7
3289,53
3290,18
3291,31
3292,30
3293,16
3294,62
3295,30
3296,60
3297,7
3298,23
3299,24
3300,7
3301,6
3302,30
3303,36
3304,19
3305,150
3306,13
3307,30
3308,76
3309,79
3310,91
3311,23
3312,48
3313,34
3314,13
3315,19
3316,85
3317,42
3318,12
3319,5
3320,71
3321,30
3322,7
3323,13
3324,55
3325,42
3326,7
3327,25
3328,80
3329,80
3330,18
3331,65
3332,94
3333,7
3334,13
3335,91
3336,25
3337,66
3338,66
3339,7
3340,57
3341,12
3342,7
3343,30
3344,48
3345,35
3346,12
3347,19
3348,7
3349,61
3350,18
3351,31
3352,94
3353,28
3354,13
3355,96
3356,83
3357,6
3358,7
3359,19
3360,60
3361,7
3362,7
3363,6
3364,73
3365,104
3366,94
3367,30
3368,47
3369,55
3370,19
3371,7
3372,43
3373,36
3374,19
3375,28
3376,36
3377,42
3378,12
3379,13
3380,87
3381,40
3382,7
3383,23
3384,52
3385,52
3386,31
3387,91
3388,72
3389,48
3390,36
3391,35
3392,53
3393,12
3394,137
3395,7
3396,25
3397,12
3398,60
3399,95
3400,48
3401,51
3402,7
3403,7
3404,7
3405,64
3406,7
3407,13
3408,24
3409,18
3410,13
3411,48
3412,7
3413,6
3414,85
3415,25
3416,52
3417,7
3418,7
3419,43
3420,7
3421,29
3422,100
3423,13
3424,96
3425,19
3426,7
3427,7
3428,7
3429,7
3430,88
3431,19
3432,30
3433,73
3434,7
3435,24
3436,13
3437,30
3438,36
3439,7
3440,114
3441,24
3442,68
3443,6
3444,54
3445,83
3446,36
3447,57
3448,7
3449,25
3450,7
3451,13
3452,30
3453,19
3454,7
3455,35
3456,81
3457,147
3458,188
3459,7
3460,67
3461,6
3462,54
3463,7
3464,29
3465,24
3466,7
3467,42
3468,53
3469,7
3470,12
3471,7
3472,34
3473,7
3474,125
3475,105
3476,47
3477,17
3478,7
3479,19
3480,25
3481,7
3482,101
3483,7
3484,43
3485,54
3486,6
3487,17
3488,81
3489,58
3490,179
3491,17
3492,67
3493,46
3494,17
3495,87
3496,18
3497,7
3498,19
3499,116
3500,6
3501,12
3502,106
3503,105
3504,47
3505,7
3506,7
3507,7
3508,125
3509,36
3510,66
3511,29
3512,90
3513,99
3514,138
3515,18
3516,44
3517,37
3518,13
3519,7
3520,7
3521,6
3522,81
3523,24
3524,7
3525,48
3526,71
3527,41
3528,41
3529,18
3530,65
3531,7
3532,7
3533,6
3534,7
3535,52
3536,18
3537,6
3538,7
3539,122
3540,7
3541,18
3542,25
3543,13
3544,31
3545,93
3546,71
3547,13
3548,37
3549,7
3550,6
3551,47
3552,60
3553,7
3554,13
3555,84
3556,7
3557,121
3558,29
3559,13
3560,6
3561,37
3562,48
3563,101
3564,71
3565,6
3566,18
3567,6
3568,11
3569,19
3570,19
3571,29
3572,53
3573,40
3574,48
3575,7
3576,108
3577,54
3578,43
3579,65
3580,6
3581,152
3582,47
3583,30
3584,29
3585,105
3586,19
3587,7
3588,80
3589,55
3590,6
3591,94
3592,7
3593,7
3594,7
3595,30
3596,18
3597,58
3598,23
3599,136
3600,7
3601,7
3602,84
3603,42
3604,157
3605,84
3606,7
3607,25
3608,7
3609,41
3610,6
3611,83
3612,13
3613,12
3614,135
3615,13
3616,18
3617,47
3618,7
3619,55
3620,42
3621,7
3622,113
3623,6
3624,7
3625,24
3626,6
3627,56
3628,12
3629,56
3630,75
3631,85
3632,43
3633,35
3634,6
3635,48
3636,7
3637,7
3638,6
3639,62
3640,116
3641,24
3642,64
3643,13
3644,18
3645,87
3646,54
3647,221
3648,7
3649,7
3650,116
3651,75
3652,57
3653,18
3654,133
3655,97
3656,89
3657,91
3658,7
3659,6
3660,13
3661,22
3662,7
3663,7
3664,7
3665,12
3666,52
3667,35
3668,7
3669,27
3670,7
3671,13
3672,132
3673,29
3674,7
3675,7
3676,7
3677,57
3678,24
3679,58
3680,7
3681,12
3682,11
3683,13
3684,7
3685,19
3686,18
3687,23
3688,48
3689,122
3690,11
3691,6
3692,82
3693,17
3694,113
3695,13
3696,41
3697,76
3698,68
3699,13
3700,6
3701,7
3702,23
3703,7
3704,24
3705,22
3706,47
3707,158
3708,13
3709,70
3710,7
3711,13
3712,7
3713,39
3714,36
3715,24
3716,48
3717,111
3718,55
3719,55
3720,6
3721,47
3722,42
3723,7
3724,12
3725,12
3726,132
3727,18
3728,25
3729,56
3730,12
3731,75
3732,105
3733,34
3734,6
3735,22
3736,87
3737,137
3738,6
3739,120
3740,10
3741,114
3742,22
3743,6
3744,7
3745,83
3746,153
3747,7
3748,60
3749,7
3750,40
3751,7
3752,37
3753,42
3754,6
3755,22
3756,34
3757,7
3758,13
3759,7
3760,12
3761,70
3762,78
3763,55
3764,89
3765,13
3766,13
3767,77
3768,18
3769,215
3770,7
3771,18
3772,13
3773,149
3774,6
3775,7
3776,7
3777,103
3778,54
3779,7
3780,69
3781,66
3782,86
3783,90
3784,7
3785,7
3786,25
3787,19
3788,19
3789,40
3790,6
3791,76
3792,13
3793,64
3794,83
3795,13
3796,7
3797,29
3798,7
3799,6
3800,48
3801,53
3802,39
3803,12
3804,13
3805,6
3806,55
3807,13
3808,18
3809,7
3810,51
3811,140
3812,7
3813,12
3814,40
3815,71
3816,13
3817,30
3818,12
3819,76
3820,7
3821,7
3822,41
3823,18
3824,7
3825,7
3826,19
3827,7
3828,160
3829,79
3830,6
3831,48
3832,64
3833,7
3834,94
3835,7
3836,42
3837,59
3838,38
3839,24
3840,103
3841,80
3842,24
3843,52
3844,18
3845,37
3846,55
3847,88
3848,5
3849,65
3850,18
3851,36
3852,113
3853,41
3854,12
3855,7
3856,7
3857,64
3858,6
3859,7
3860,95
3861,7
3862,52
3863,18
3864,87
3865,56
3866,78
3867,52
3868,7
3869,11
3870,93
3871,6
3872,13
3873,86
3874,19
3875,59
3876,28
3877,48
3878,7
3879,40
3880,7
3881,49
3882,37
3883,7
3884,76
3885,7
3886,13
3887,7
3888,41
3889,17
3890,7
3891,25
3892,7
3893,13
3894,7
3895,24
3896,47
3897,7
3898,7
3899,69
3900,24
3901,18
3902,29
3903,111
3904,12
3905,46
3906,24
3907,119
3908,43
3909,70
3910,6
3911,81
3912,65
3913,18
3914,31
3915,13
3916,65
3917,7
3918,106
3919,7
3920,13
3921,24
3922,19
3923,7
3924,13
3925,7
3926,7
3927,11
3928,12
3929,7
3930,6
3931,7
3932,74
3933,13
3934,18
3935,90
3936,6
3937,6
3938,58
3939,78
3940,52
3941,25
3942,13
3943,7
3944,66
3945,18
3946,100
3947,7
3948,17
3949,7
3950,94
3951,6
3952,16
3953,7
3954,36
3955,29
3956,6
3957,6
3958,53
3959,7
3960,7
3961,78
3962,13
3963,24
3964,7
3965,67
3966,7
3967,7
3968,49
3969,17
3970,6
3971,24
3972,82
3973,13
3974,112
3975,13
3976,103
3977,12
3978,17
3979,41
3980,59
3981,7
3982,7
3983,7
3984,13
3985,7
3986,24
3987,60
3988,56
3989,41
3990,7
3991,47
3992,42
3993,6
3994,41
3995,162
3996,42
3997,7
3998,78
3999,6
4000,7
4001,7
4002,7
4003,18
4004,77
4005,102
4006,88
4007,6
4008,83
4009,7
4010,25
4011,7
4012,7
4013,12
4014,23
4015,93
4016,19
4017,74
4018,7
4019,63
4020,12
4021,105
4022,18
4023,54
4024,68
4025,41
4026,60
4027,42
4028,75
4029,7
4030,7
4031,19
4032,35
4033,92
4034,12
4035,57
4036,5
4037,7
4038,49
4039,42
4040,6
4041,10
4042,7
4043,7
4044,89
4045,7
4046,6
4047,7
4048,7
4049,6
4050,91
4051,29
4052,119
4053,5
4054,7
4055,7
4056,7
4057,12
4058,35
4059,75
4060,19
4061,52
4062,13
4063,7
4064,112
4065,7
4066,7
4067,7
4068,71
4069,7
4070,65
4071,7
4072,19
4073,7
4074,6
4075,7
4076,65
4077,29
4078,6
4079,47
4080,40
4081,12
4082,115
4083,64
4084,26
4085,7
4086,23
4087,6
4088,7
4089,82
4090,48
4091,7
4092,122
4093,7
4094,6
4095,6
4096,11
4097,31
4098,42
4099,65
4100,81
4101,6
4102,71
4103,81
4104,59
4105,7
4106,7
4107,124
4108,33
4109,33
4110,13
4111,7
4112,13
4113,48
4114,35
4115,7
4116,7
4117,13
4118,61
4119,31
4120,25
4121,35
4122,13
4123,118
4124,7
4125,6
4126,7
4127,7
4128,7
4129,49
4130,72
4131,76
4132,47
4133,72
4134,49
4135,102
4136,7
4137,7
4138,44
4139,41
4140,7
4141,103
4142,12
4143,7
4144,7
4145,6
4146,34
4147,18
4148,49
4149,100
4150,35
4151,6
4152,56
4153,13
4154,7
4155,43
4156,7
4157,6
4158,94
4159,61
4160,55
4161,36
4162,81
4163,23
4164,42
4165,46
4166,98
4167,7
4168,7
4169,61
4170,42
4171,110
4172,108
4173,13
4174,7
4175,6
4176,7
4177,138
4178,6
4179,87
4180,21
4181,70
4182,7
4183,6
4184,105
4185,7
4186,44
4187,58
4188,6
4189,7
4190,19
4191,6
4192,7
4193,19
4194,64
4195,6
4196,87
4197,7
4198,6
4199,7
4200,7
4201,13
4202,25
4203,13
4204,13
4205,18
4206,99
4207,24
4208,24
4209,7
4210,68
4211,18
4212,7
4213,76
4214,30
4215,29
4216,25
4217,57
4218,7
4219,31
4220,24
4221,18
4222,7
4223,7
4224,7
4225,106
4226,7
4227,36
4228,52
4229,76
4230,12
4231,52
4232,6
4233,7
4234,7
4235,7
4236,7
4237,66
4238,69
4239,13
4240,24
4241,106
4242,78
4243,7
4244,45
4245,7
4246,25
4247,60
4248,46
4249,24
4250,7
4251,48
4252,81
4253,7
4254,7
4255,7
4256,31
4257,19
4258,7
4259,7
4260,40
4261,65
4262,7
4263,11
4264,54
4265,7
4266,12
4267,13
4268,13
4269,82
4270,42
4271,7
4272,18
4273,13
4274,46
4275,68
4276,106
4277,7
4278,12
4279,85
4280,7
4281,13
4282,6
4283,7
4284,99
4285,7
4286,7
4287,89
4288,18
4289,13
4290,31
4291,90
4292,12
4293,7
4294,42
4295,7
4296,6
4297,7
4298,19
4299,7
4300,51
4301,6
4302,7
4303,25
4304,7
4305,7
4306,13
4307,43
4308,7
4309,17
4310,7
4311,7
4312,30
4313,119
4314,61
4315,7
4316,80
4317,6
4318,4
4319,93
4320,13
4321,7
4322,7
4323,95
4324,7
4325,6
4326,5
4327,7
4328,7
4329,11
4330,90
4331,7
4332,45
4333,13
4334,97
4335,6
4336,18
4337,7
4338,61
4339,43
4340,7
4341,24
4342,7
4343,7
4344,53
4345,161
4346,7
4347,109
4348,73
4349,13
4350,18
4351,7
4352,7
4353,65
4354,47
4355,7
4356,39
4357,7
4358,64
4359,18
4360,7
4361,7
4362,19
4363,7
4364,5
4365,7
4366,46
4367,7
4368,52
4369,84
4370,19
4371,6
4372,7
4373,7
4374,13
4375,52
4376,64
4377,13
4378,13
4379,12
4380,7
4381,7
4382,105
4383,47
4384,7
4385,19
4386,6
4387,48
4388,6
4389,7
4390,78
4391,6
4392,54
4393,42
4394,42
4395,6
4396,7
4397,7
4398,189
4399,113
4400,7
4401,6
4402,19
4403,11
4404,24
4405,7
4406,7
4407,13
4408,69
4409,7
4410,7
4411,13
4412,7
4413,7
4414,6
4415,83
4416,7
4417,7
4418,92
4419,7
4420,65
4421,10
4422,7
4423,7
4424,30
4425,7
4426,66
4427,30
4428,34
4429,6
4430,35
4431,7
4432,7
4433,7
4434,6
4435,7
4436,77
4437,43
4438,7
4439,13
4440,43
4441,59
4442,76
4443,7
4444,7
4445,6
4446,5
4447,56
4448,7
4449,25
4450,7
4451,42
4452,7
4453,7
4454,12
4455,96
4456,7
4457,18
4458,7
4459,6
4460,6
4461,7
4462,76
4463,95
4464,48
4465,7
4466,63
4467,24
4468,13
4469,7
4470,7
4471,5
4472,37
4473,13
4474,25
4475,7
4476,7
4477,25
4478,13
4479,7
4480,7
4481,31
4482,7
4483,7
4484,7
4485,12
4486,53
4487,54
4488,7
4489,7
4490,42
4491,7
4492,31
4493,7
4494,37
4495,7
4496,7
4497,144
4498,7
4499,7
4500,7
4501,7
4502,7
4503,7
4504,7
4505,101
4506,7
4507,7
4508,69
4509,100
4510,39
4511,6
4512,36
4513,7
4514,46
4515,7
4516,62
4517,62
4518,13
4519,7
4520,7
4521,40
4522,18
4523,7
4524,7
4525,12
4526,7
4527,19
4528,45
4529,135
4530,7
4531,5
4532,7
4533,7
4534,7
4535,13
4536,7
4537,124
4538,59
4539,52
4540,6
4541,57
4542,37
4543,144
4544,6
4545,7
4546,12
4547,12
4548,7
4549,48
4550,7
4551,6
4552,84
4553,83
4554,6
4555,7
4556,40
4557,41
4558,75
4559,11
4560,7
4561,49
4562,7
4563,7
4564,7
4565,12
4566,31
4567,60
4568,87
4569,13
4570,42
4571,42
4572,43
4573,6
4574,89
4575,7
4576,7
4577,67
4578,94
4579,46
4580,72
4581,37
4582,7
4583,6
4584,7
4585,13
4586,19
4587,7
4588,12
4589,48
4590,12
4591,76
4592,7
4593,87
4594,7
4595,7
4596,7
4597,74
4598,40
4599,31
4600,13
4601,7
4602,53
4603,127
4604,7
4605,7
4606,7
4607,7
4608,66
4609,12
4610,40
4611,7
4612,152
4613,80
4614,12
4615,7
4616,7
4617,7
4618,7
4619,7
4620,13
4621,73
4622,7
4623,7
4624,7
4625,17
4626,60
4627,54
4628,7
4629,13
4630,47
4631,24
4632,42
4633,7
4634,7
4635,59
4636,5
4637,13
4638,7
4639,17
4640,7
4641,48
4642,6
4643,24
4644,137
4645,36
4646,12
4647,38
4648,13
4649,122
4650,18
4651,7
4652,7
4653,5
4654,7
4655,6
4656,12
4657,75
4658,149
4659,53
4660,13
4661,18
4662,13
4663,19
4664,7
4665,6
4666,18
4667,6
4668,7
4669,7
4670,157
4671,48
4672,7
4673,7
4674,7
4675,7
4676,24
4677,25
4678,7
4679,25
4680,7
4681,52
4682,13
4683,7
4684,18
4685,7
4686,7
4687,107
4688,7
4689,7
4690,7
4691,23
4692,7
4693,7
4694,7
4695,7
4696,88
4697,7
4698,7
4699,43
4700,88
4701,35
4702,19
4703,123
4704,42
4705,7
4706,7
4707,6
4708,7
4709,7
4710,6
4711,17
4712,7
4713,7
4714,61
4715,12
4716,106
4717,48
4718,7
4719,94
4720,101
4721,12
4722,69
4723,7
4724,71
4725,7
4726,7
4727,32
4728,6
4729,7
4730,7
4731,7
4732,17
4733,43
4734,64
4735,7
4736,7
4737,7
4738,13
4739,7
4740,7
4741,72
4742,70
4743,7
4744,35
4745,7
4746,7
4747,69
4748,192
4749,141
4750,6
4751,49
4752,76
4753,13
4754,7
4755,6
4756,7
4757,40
4758,7
4759,1033
4760,24
4761,19
4762,83
4763,7
4764,93
4765,7
4766,7
4767,7
4768,6
4769,6
4770,7
4771,93
4772,61
4773,134
4774,12
4775,7
4776,83
4777,7
4778,7
4779,7
4780,13
4781,7
4782,7
4783,13
4784,7
4785,7
4786,19
4787,7
4788,65
4789,48
4790,7
4791,13
4792,7
4793,6
4794,7
4795,4
4796,54
4797,85
4798,66
4799,35
4800,6
4801,6
4802,105
4803,7
4804,24
4805,19
4806,7
4807,12
4808,86
4809,43
4810,6
4811,7
4812,13
4813,6
4814,12
4815,6
4816,49
4817,57
4818,81
4819,24
4820,19
4821,7
4822,19
4823,7
4824,7
4825,13
4826,7
4827,7
4828,114
4829,13
4830,7
4831,68
4832,62
4833,13
4834,105
4835,12
4836,59
4837,67
4838,7
4839,6
4840,30
4841,41
4842,7
4843,7
4844,65
4845,11
4846,6
4847,7
4848,98
4849,85
4850,7
4851,6
4852,6
4853,24
4854,7
4855,82
4856,43
4857,7
4858,102
4859,41
4860,7
4861,7
4862,36
4863,18
4864,40
4865,7
4866,7
4867,57
4868,23
4869,17
4870,71
4871,19
4872,7
4873,29
4874,7
4875,28
4876,7
4877,4
4878,7
4879,7
4880,10
4881,4
4882,60
4883,13
4884,70
4885,6
4886,45
4887,13
4888,64
4889,82
4890,30
4891,13
4892,7
4893,12
4894,7
4895,17
4896,6
4897,6
4898,7
4899,7
4900,7
4901,13
4902,7
4903,6
4904,66
4905,23
4906,88
4907,7
4908,19
4909,19
4910,7
4911,7
4912,7
4913,7
4914,7
4915,19
4916,7
4917,12
4918,18
4919,52
4920,7
4921,13
4922,7
4923,6
4924,85
4925,78
4926,7
4927,7
4928,77
4929,7
4930,71
4931,7
4932,7
4933,25
4934,7
4935,13
4936,43
4937,111
4938,7
4939,12
4940,13
4941,7
4942,7
4943,7
4944,7
4945,7
4946,5
4947,13
4948,98
4949,40
4950,7
4951,48
4952,7
4953,122
4954,7
4955,108
4956,97
4957,18
4958,7
4959,7
4960,59
4961,7
4962,12
4963,5
4964,19
4965,18
4966,6
4967,7
4968,36
4969,48
4970,7
4971,7
4972,11
4973,117
4974,61
4975,7
4976,71
4977,7
4978,48
4979,7
4980,64
4981,13
4982,6
4983,7
4984,87
4985,5
4986,165
4987,13
4988,48
4989,25
4990,7
4991,34
4992,7
4993,27
4994,7
4995,7
4996,7
4997,7
4998,60
4999,7
