tract,count
034800,224
034900,460
035000,85
035100,2841
035200,116
035300,3089
035400,123
035500,377
035600,56
035601,27
035602,96
035700,23822
035800,95
035900,276
036000,42
036001,37
036002,63
036100,1844
036200,146
036300,1040
036400,235
036500,1839
036501,231
036502,233
036600,395
036700,629
036800,50
036900,332
036901,45
036902,32
037000,400
037100,1154
037200,24
037300,2431
037400,63
037401,107
037402,67
037500,1868
037504,101
037600,75
037700,531
037800,124
037900,632
038000,55
038100,1138
038200,29
038300,427
038301,958
038302,22010
038400,33
038500,491
038600,123
038700,1145
038800,77
038900,10700
039000,202
039100,7265
039200,220
039300,8143
039400,185
039500,2130
039600,86
039700,2040
039800,108
039900,1185
039901,152
039902,136
040000,134
040100,1314
040200,66
040300,705
040302,68
040303,61
040304,119
040400,99
040500,595
040501,51
040502,82
040600,42
040700,320
040701,80
040702,144
040800,81
040900,695
041000,25
041100,540
041200,109
041300,428
041400,61
041401,71
041402,63
041500,432
041600,95
041700,182
041800,222
041900,438
042000,263
042100,1619
042200,213
042300,7397
042400,156
042500,3329
042600,147
042700,8118
042800,65
042900,2362
042901,22
042902,52
043000,163
043100,2307
043200,191
043300,559
043400,80
043500,1095
043600,127
043700,463
043701,2037
043702,1175
043800,149
043900,1605
044000,176
044100,598
044200,162
044300,975
044301,75
044302,442
044400,279
044500,1699
044600,277
044601,115
044602,506
044700,5181
044800,2407
044900,14079
044901,82
044902,158
045000,1513
045101,158
045102,43
045200,429
045300,14639
045400,906
045500,716
045600,725
045700,217
045800,614
045900,178
046000,1062
046100,181
046200,243
046201,746
046202,474
046300,196
046400,167
046500,364
046600,262
046700,278
046800,272
046900,1022
047000,62
047100,1015
047200,187
047300,10758
047400,62
047500,3354
047600,227
047700,17098
047800,1905
047900,1425
048000,448
048100,11306
048200,1474
048300,5487
048400,1265
048500,34188
048600,1337
048800,481
048900,2695
049000,1609
049100,8938
049200,1700
049300,25713
049301,203
049302,816
049400,2923
049500,28998
049600,1164
049700,36830
049800,602
049900,10014
050000,981
050100,101175
050201,23
050202,402
050300,35416
050400,3020
050500,6104
050600,950
050700,4057
050800,20
050801,942
050803,1322
050804,786
050900,2755
051000,44
051001,406
051002,544
051100,7586
051200,452
051300,98256
051400,661
051500,15327
051600,154
051601,237
051602,452
051700,95726
051800,307
051900,173816
052000,430
052100,405
052200,16
052300,125769
052400,13
052500,34652
052600,1827
052700,20186
052800,317
052900,11072
053000,621
053100,2335
053200,250
053300,1777
053400,469
053401,27
053500,2836
053601,8
053700,2999
053800,142
053900,1500
054000,40
054200,379
054300,5233
054400,48
054500,1269
054600,76
054700,4757
054800,119
054900,107163
055000,115
055100,111385
055200,515
055300,297167
055400,396
055500,96532
055600,134
055700,126938
055800,46
055900,124
056000,104
056100,26472
056200,47
056300,15354
056400,74
056500,38139
056600,50
056700,68
056800,172
056900,77616
057000,41
057100,18405
057200,54
057300,6609
057400,28
057500,25501
057600,31
057700,169
057800,95
057900,10098
058000,170
058100,142
058200,195
058300,260
058400,106
058500,247
058600,20
058700,168
058800,196
058900,3169
059000,88
059100,6716
059200,187
059300,2444
059400,9
059401,143
